"MeterID";"Zone";"ConsumerType";"Date";"EnergyConsumed_kWh";"PeakUsage_kWh";"OutageMinutes";"MeterStatus";"TariffRate"
"M00001";"West";"Industrial";"2022-05-26";931.57;31.49;18;"Active";3.64
"M00002";"East";"Commercial";"2023-05-27";967.88;45.25;10;"Faulty";4.19
"M00003";"South";"Commercial";"2022-09-12";451.37;44.77;186;"Active";3.39
"M00004";"Central";"Industrial";"2023-11-02";651.75;29.98;65;"Active";6.28
"M00005";"North";"Industrial";"2024-12-16";473.79;25.99;248;"Faulty";6.11
"M00006";"South";"Industrial";"2023-01-01";834.12;40.7;100;"Faulty";7.02
"M00007";"East";"Industrial";"2022-03-31";381.38;32.4;133;"Faulty";5.82
"M00008";"North";"Commercial";"2022-05-13";382.73;49.87;178;"Faulty";6.75
"M00009";"South";"Commercial";"2022-11-16";546.06;39.24;131;"Active";4.6
"M00010";"East";"Commercial";"2026-01-19";509.16;19.12;206;"Faulty";5.22
"M00011";"West";"Residential";"2026-03-17";378.76;28.21;122;"Faulty";3.06
"M00012";"Central";"Commercial";"2023-08-12";312.79;23.88;271;"Active";6.58
"M00013";"Central";"Commercial";"2022-03-22";115.19;29.05;163;"Faulty";3.29
"M00014";"Central";"Industrial";"2022-05-11";149.27;12.07;97;"Faulty";6.43
"M00015";"North";"Industrial";"2023-01-04";359.04;34.02;293;"Active";7.53
"M00016";"Central";"Residential";"2026-02-14";204.44;29.49;297;"Faulty";4.7
"M00017";"East";"Industrial";"2024-04-24";695.46;33.36;126;"Active";7.39
"M00018";"South";"Residential";"2025-03-27";913.18;9.02;99;"Active";5.67
"M00019";"Central";"Industrial";"2022-02-17";688.08;39.37;164;"Active";6.59
"M00020";"North";"Commercial";"2025-07-23";870.13;36.82;165;"Active";7.72
"M00021";"West";"Residential";"2023-08-12";395.37;18.68;20;"Active";7.95
"M00022";"West";"Industrial";"2026-06-04";852.87;23.01;34;"Active";6.63
"M00023";"North";"Industrial";"2025-09-16";548.68;42.06;178;"Active";3.13
"M00024";"South";"Commercial";"2026-06-03";406.09;21.09;26;"Active";3.66
"M00025";"East";"Residential";"2024-09-25";679.58;36.87;129;"Active";4.2
"M00026";"Central";"Residential";"2024-03-03";968.84;5.94;23;"Faulty";7.03
"M00027";"Central";"Residential";"2026-01-04";925.55;18.2;6;"Active";3.22
"M00028";"East";"Commercial";"2026-06-16";119.53;41.21;267;"Active";4.27
"M00029";"South";"Commercial";"2024-09-24";824.01;16.35;253;"Active";3.07
"M00030";"East";"Industrial";"2023-05-20";520.01;23.54;95;"Active";6.63
"M00031";"West";"Industrial";"2024-07-16";398.15;8.36;122;"Faulty";6.09
"M00032";"Central";"Residential";"2024-04-21";281.88;24.01;72;"Faulty";3.73
"M00033";"East";"Commercial";"2023-10-09";408.03;31.72;122;"Active";4.84
"M00034";"East";"Residential";"2025-10-19";747.82;20.4;164;"Active";5.28
"M00035";"South";"Residential";"2023-03-26";213.39;48.15;29;"Faulty";4.86
"M00036";"Central";"Industrial";"2022-01-14";968.22;17.31;281;"Active";4.26
"M00037";"South";"Residential";"2024-11-23";448.0;11.47;252;"Faulty";5.93
"M00038";"Central";"Residential";"2024-09-23";710.31;31.11;270;"Faulty";4.17
"M00039";"West";"Residential";"2022-12-24";361.53;9.16;84;"Active";6.76
"M00040";"West";"Commercial";"2022-07-19";663.73;18.05;75;"Active";5.59
"M00041";"South";"Residential";"2024-07-17";979.82;15.12;286;"Faulty";4.48
"M00042";"East";"Commercial";"2023-02-13";623.63;32.59;282;"Active";6.25
"M00043";"West";"Industrial";"2022-12-12";982.2;11.97;102;"Active";7.18
"M00044";"North";"Residential";"2024-11-01";899.92;44.99;197;"Active";6.45
"M00045";"South";"Industrial";"2024-01-26";215.87;10.1;259;"Faulty";6.8
"M00046";"East";"Commercial";"2023-10-02";829.97;9.7;84;"Active";6.29
"M00047";"South";"Industrial";"2025-07-08";766.94;30.03;10;"Faulty";3.48
"M00048";"Central";"Industrial";"2022-09-06";927.47;42.32;60;"Faulty";6.8
"M00049";"Central";"Residential";"2025-02-04";923.27;46.01;265;"Active";5.33
"M00050";"North";"Residential";"2022-05-18";565.99;39.18;298;"Active";3.4
"M00051";"Central";"Residential";"2026-01-18";955.39;41.08;8;"Faulty";6.46
"M00052";"West";"Residential";"2023-08-14";666.32;6.81;79;"Active";4.55
"M00053";"East";"Industrial";"2025-08-04";663.37;9.25;16;"Faulty";6.39
"M00054";"West";"Residential";"2022-12-30";361.09;34.24;174;"Active";5.93
"M00055";"East";"Industrial";"2026-04-08";712.67;9.19;228;"Active";5.17
"M00056";"West";"Residential";"2023-01-15";658.17;33.92;173;"Active";6.46
"M00057";"East";"Industrial";"2025-01-02";231.13;35.77;83;"Active";7.74
"M00058";"West";"Commercial";"2023-04-26";416.88;6.68;261;"Active";6.58
"M00059";"Central";"Industrial";"2022-09-27";677.0;38.91;184;"Faulty";5.48
"M00060";"Central";"Residential";"2024-10-25";598.62;44.39;162;"Faulty";3.04
"M00061";"East";"Commercial";"2023-06-27";204.76;22.94;123;"Active";6.28
"M00062";"South";"Commercial";"2026-02-03";240.18;46.14;130;"Faulty";6.47
"M00063";"East";"Industrial";"2024-02-11";140.03;48.3;203;"Faulty";3.46
"M00064";"South";"Commercial";"2023-11-23";327.76;6.84;39;"Active";6.17
"M00065";"East";"Industrial";"2023-01-22";305.1;7.32;289;"Faulty";5.82
"M00066";"North";"Commercial";"2025-01-29";619.37;9.19;87;"Faulty";4.44
"M00067";"South";"Industrial";"2024-05-18";223.43;47.98;180;"Active";5.59
"M00068";"South";"Industrial";"2025-03-21";778.4;38.72;36;"Active";3.84
"M00069";"Central";"Industrial";"2024-09-07";962.06;11.44;267;"Active";5.89
"M00070";"South";"Commercial";"2022-03-19";959.31;28.87;297;"Active";6.04
"M00071";"Central";"Industrial";"2023-01-10";948.33;46.76;80;"Faulty";7.06
"M00072";"North";"Industrial";"2026-08-24";929.99;35.65;22;"Active";4.29
"M00073";"West";"Commercial";"2026-09-30";245.34;44.39;228;"Active";3.61
"M00074";"Central";"Industrial";"2024-04-20";746.7;32.36;54;"Active";7.57
"M00075";"South";"Residential";"2022-03-10";484.51;37.08;107;"Active";3.98
"M00076";"West";"Industrial";"2022-03-18";536.64;6.71;201;"Faulty";6.1
"M00077";"West";"Commercial";"2025-12-05";253.08;36.37;43;"Active";4.52
"M00078";"East";"Residential";"2026-08-18";524.34;17.68;26;"Faulty";7.49
"M00079";"South";"Industrial";"2023-01-09";754.16;43.8;57;"Active";7.58
"M00080";"East";"Residential";"2024-02-11";893.22;49.99;158;"Active";5.27
"M00081";"West";"Industrial";"2023-03-21";607.03;37.48;290;"Faulty";5.05
"M00082";"Central";"Residential";"2025-10-31";449.8;26.39;247;"Active";6.01
"M00083";"North";"Industrial";"2024-05-10";487.27;39.29;115;"Faulty";7.33
"M00084";"Central";"Residential";"2026-04-21";959.74;38.21;297;"Faulty";7.49
"M00085";"North";"Industrial";"2023-09-22";333.62;41.06;224;"Faulty";6.68
"M00086";"South";"Residential";"2024-06-16";851.51;29.98;229;"Active";4.31
"M00087";"East";"Industrial";"2025-01-28";371.07;30.19;126;"Faulty";6.24
"M00088";"West";"Industrial";"2025-04-09";179.64;10.85;89;"Faulty";6.3
"M00089";"North";"Commercial";"2025-09-17";191.76;33.55;177;"Active";5.79
"M00090";"South";"Industrial";"2025-03-22";505.83;5.77;217;"Faulty";3.9
"M00091";"North";"Commercial";"2022-09-09";221.7;32.17;248;"Faulty";6.14
"M00092";"Central";"Commercial";"2022-11-22";736.47;32.09;268;"Faulty";3.19
"M00093";"Central";"Commercial";"2023-08-26";622.19;36.61;5;"Active";5.12
"M00094";"North";"Commercial";"2026-05-21";305.58;46.26;121;"Active";3.11
"M00095";"West";"Commercial";"2023-11-17";902.69;42.32;297;"Faulty";4.64
"M00096";"West";"Commercial";"2025-10-15";384.34;35.16;70;"Active";4.2
"M00097";"South";"Industrial";"2024-02-15";914.64;10.14;261;"Faulty";3.62
"M00098";"North";"Industrial";"2023-10-25";941.96;7.54;192;"Active";6.95
"M00099";"North";"Industrial";"2026-08-25";304.34;9.45;174;"Active";7.74
"M00100";"East";"Residential";"2022-01-24";746.3;23.09;161;"Active";7.6
"M00101";"East";"Commercial";"2023-03-25";845.98;33.91;28;"Active";7.75
"M00102";"North";"Industrial";"2024-08-09";865.28;41.3;285;"Active";6.25
"M00103";"South";"Residential";"2022-01-18";265.58;6.38;200;"Faulty";7.93
"M00104";"East";"Industrial";"2023-01-02";173.73;35.56;191;"Active";5.37
"M00105";"South";"Commercial";"2026-03-15";579.39;27.18;161;"Faulty";7.12
"M00106";"Central";"Commercial";"2023-03-23";281.47;23.22;124;"Active";5.68
"M00107";"East";"Commercial";"2024-11-04";462.27;43.13;236;"Faulty";5.41
"M00108";"North";"Commercial";"2025-05-09";430.27;30.65;243;"Faulty";7.34
"M00109";"East";"Residential";"2022-08-11";533.58;27.87;245;"Active";6.34
"M00110";"West";"Residential";"2025-07-02";102.49;46.58;86;"Faulty";6.35
"M00111";"Central";"Residential";"2022-03-03";598.8;18.34;81;"Faulty";4.33
"M00112";"North";"Commercial";"2022-11-23";453.9;34.27;115;"Faulty";5.49
"M00113";"East";"Residential";"2025-07-30";468.62;25.31;130;"Active";3.32
"M00114";"South";"Industrial";"2026-07-27";658.81;43.12;46;"Faulty";7.3
"M00115";"West";"Residential";"2025-09-17";441.77;14.83;5;"Faulty";7.42
"M00116";"North";"Commercial";"2024-06-07";244.48;44.59;54;"Faulty";7.23
"M00117";"North";"Residential";"2023-10-11";436.69;40.39;252;"Active";7.28
"M00118";"Central";"Residential";"2023-03-29";801.2;48.77;288;"Active";7.98
"M00119";"Central";"Residential";"2025-01-01";315.55;8.24;259;"Active";5.85
"M00120";"North";"Residential";"2025-09-08";707.8;34.21;250;"Faulty";5.15
"M00121";"West";"Commercial";"2026-05-20";830.82;20.44;94;"Active";4.57
"M00122";"Central";"Commercial";"2026-05-18";605.59;15.39;118;"Faulty";3.87
"M00123";"North";"Residential";"2022-10-27";249.06;42.72;41;"Active";7.67
"M00124";"West";"Industrial";"2025-09-17";916.78;49.63;217;"Faulty";5.79
"M00125";"Central";"Industrial";"2022-03-28";177.9;12.79;75;"Active";3.34
"M00126";"North";"Residential";"2022-08-02";745.22;41.66;234;"Active";6.59
"M00127";"North";"Industrial";"2023-01-20";164.23;32.46;191;"Active";5.32
"M00128";"West";"Residential";"2026-09-26";195.73;13.71;154;"Faulty";5.18
"M00129";"North";"Commercial";"2024-09-01";358.22;48.97;112;"Active";6.51
"M00130";"East";"Industrial";"2026-05-09";864.2;13.12;211;"Active";7.21
"M00131";"South";"Residential";"2026-02-16";816.15;38.41;223;"Active";3.82
"M00132";"Central";"Industrial";"2022-05-26";480.44;43.68;176;"Active";3.82
"M00133";"South";"Industrial";"2025-10-28";682.82;42.04;227;"Active";4.27
"M00134";"West";"Residential";"2022-11-08";919.06;21.18;53;"Faulty";4.33
"M00135";"Central";"Industrial";"2022-03-16";803.24;8.69;172;"Faulty";5.27
"M00136";"East";"Residential";"2024-02-21";792.28;39.4;33;"Active";4.18
"M00137";"East";"Residential";"2026-08-16";721.74;10.61;71;"Faulty";5.71
"M00138";"North";"Industrial";"2024-11-10";479.03;24.59;42;"Active";7.71
"M00139";"East";"Industrial";"2022-10-31";694.07;43.16;183;"Active";3.37
"M00140";"East";"Industrial";"2022-04-03";171.05;21.81;58;"Faulty";4.25
"M00141";"South";"Residential";"2023-09-09";534.96;5.54;228;"Active";6.02
"M00142";"North";"Industrial";"2023-01-06";552.06;44.26;294;"Active";7.06
"M00143";"North";"Commercial";"2026-07-06";138.53;24.35;242;"Active";7.33
"M00144";"South";"Industrial";"2023-03-23";166.4;5.36;139;"Faulty";3.74
"M00145";"Central";"Residential";"2024-08-21";868.93;32.1;38;"Active";7.59
"M00146";"East";"Commercial";"2026-05-24";207.81;21.55;35;"Active";6.38
"M00147";"North";"Residential";"2025-09-17";712.67;5.34;25;"Active";5.05
"M00148";"West";"Industrial";"2026-05-19";458.74;22.24;109;"Faulty";6.2
"M00149";"Central";"Commercial";"2026-12-30";231.02;27.48;82;"Faulty";7.12
"M00150";"West";"Residential";"2025-05-15";412.51;41.92;3;"Active";7.01
"M00151";"West";"Residential";"2025-03-25";987.56;14.84;47;"Active";4.84
"M00152";"North";"Commercial";"2026-08-23";360.11;48.47;190;"Active";7.85
"M00153";"South";"Residential";"2022-07-15";725.24;47.49;146;"Faulty";6.07
"M00154";"North";"Industrial";"2025-02-01";558.3;48.7;62;"Faulty";4.99
"M00155";"North";"Commercial";"2024-05-16";578.73;30.68;238;"Active";3.13
"M00156";"West";"Commercial";"2024-10-25";514.85;8.3;12;"Active";7.63
"M00157";"West";"Commercial";"2023-12-19";972.3;30.71;235;"Active";4.32
"M00158";"West";"Commercial";"2022-05-05";583.3;29.61;227;"Faulty";5.67
"M00159";"East";"Industrial";"2026-02-10";603.31;23.25;210;"Faulty";7.5
"M00160";"North";"Commercial";"2022-06-12";443.16;28.94;127;"Active";4.08
"M00161";"Central";"Commercial";"2026-07-28";282.1;21.75;55;"Faulty";4.77
"M00162";"East";"Industrial";"2025-07-24";482.12;37.2;289;"Active";6.56
"M00163";"East";"Commercial";"2025-02-04";391.03;17.75;136;"Active";4.41
"M00164";"Central";"Commercial";"2023-06-08";597.38;5.33;7;"Active";3.56
"M00165";"South";"Residential";"2026-05-13";135.41;46.92;297;"Faulty";4.53
"M00166";"West";"Commercial";"2022-05-16";436.23;15.03;159;"Faulty";5.96
"M00167";"Central";"Residential";"2026-07-17";766.45;35.67;286;"Faulty";4.12
"M00168";"Central";"Commercial";"2023-01-24";329.26;35.55;71;"Active";7.37
"M00169";"North";"Industrial";"2025-11-02";560.83;8.72;13;"Active";4.23
"M00170";"South";"Commercial";"2024-04-16";287.28;5.15;0;"Active";3.58
"M00171";"West";"Commercial";"2026-06-06";360.47;46.41;296;"Faulty";4.91
"M00172";"South";"Industrial";"2024-02-17";325.48;15.11;102;"Active";3.53
"M00173";"East";"Residential";"2023-12-16";356.98;31.9;18;"Faulty";3.29
"M00174";"North";"Residential";"2023-07-20";463.06;18.56;130;"Faulty";6.16
"M00175";"South";"Industrial";"2025-10-07";914.82;30.39;215;"Active";5.12
"M00176";"South";"Residential";"2022-08-15";529.39;48.62;245;"Active";6.46
"M00177";"South";"Commercial";"2024-03-28";699.11;19.91;60;"Faulty";4.11
"M00178";"South";"Commercial";"2024-01-22";246.13;26.64;257;"Active";4.46
"M00179";"North";"Commercial";"2023-05-07";838.89;5.86;223;"Active";3.74
"M00180";"East";"Commercial";"2023-04-19";101.83;39.42;300;"Faulty";6.4
"M00181";"South";"Residential";"2022-10-18";174.42;43.34;253;"Faulty";7.69
"M00182";"North";"Industrial";"2023-05-30";332.7;29.41;62;"Active";7.81
"M00183";"East";"Industrial";"2023-10-13";340.48;5.03;26;"Faulty";4.02
"M00184";"South";"Residential";"2023-02-23";516.52;18.13;195;"Active";3.49
"M00185";"West";"Commercial";"2023-03-22";347.45;10.29;87;"Faulty";4.39
"M00186";"East";"Residential";"2024-04-28";596.02;49.79;60;"Active";5.36
"M00187";"North";"Industrial";"2024-08-15";979.15;26.26;5;"Active";5.93
"M00188";"Central";"Industrial";"2023-12-25";767.71;34.61;200;"Active";5.01
"M00189";"West";"Commercial";"2025-04-15";856.34;27.25;228;"Active";5.03
"M00190";"North";"Industrial";"2026-08-03";911.49;45.58;97;"Active";5.5
"M00191";"North";"Industrial";"2026-08-31";230.62;11.55;243;"Faulty";4.76
"M00192";"North";"Commercial";"2023-03-30";576.21;33.26;102;"Faulty";3.38
"M00193";"North";"Residential";"2024-04-22";362.72;25.17;274;"Active";5.88
"M00194";"East";"Industrial";"2024-06-22";163.41;32.11;108;"Active";7.08
"M00195";"Central";"Residential";"2026-08-11";792.24;39.43;106;"Faulty";4.83
"M00196";"West";"Industrial";"2023-02-28";951.4;49.72;88;"Active";7.12
"M00197";"North";"Industrial";"2022-05-28";538.45;49.52;54;"Faulty";4.18
"M00198";"East";"Commercial";"2026-06-04";785.58;36.54;86;"Faulty";7.3
